PAYER NAME,PAYER ID,TRANSACTION,AVAILABLE,NON PAR,ENROLLMENT,SECONDARY,ATTACHMENT,WC / AUTO,NOTES
1st Auto & Casualty,J1585,Professional Claims 837P,Yes,Yes,No,No,Yes,Work Comp & Auto,"Workers Comp and Auto. Pharmacy bills should be sent direct to payer. 

At this time, only Professional (HCFA) claims are accepted."
3P Admin,39081,Professional Claims 837P,Yes,No,No,No,No,,
3P Admin,39081,Institutional Claims 837I,Yes,No,No,No,No,,
3P Admin,39081,Dental Claims 837D,Yes,Yes,No,No,No,,
"6 Degrees Health, Inc.",20446,Institutional Claims 837I,Yes,No,No,No,No,,
"6 Degrees Health, Inc.",20446,Professional Claims 837P,Yes,No,No,No,No,,
8th District Elec,74234,Professional Claims 837P,Yes,Yes,No,Yes,No,,
21st Century Health and Benefits,59069,Professional Claims 837P,Yes,Yes,No,Yes,No,,
21st Century Health and Benefits,59069,Institutional Claims 837I,Yes,Yes,No,Yes,No,,
21st Century Insurance,41556,Professional Claims 837P,Yes,Yes,No,No,No,Work Comp,"Workers Comp Only. At this time, only Professional (HCFA) claims are accepted."
90 Degree Benefits,58102,Remits 835,Yes,No,Yes,No,No,,"Atlanta, GA.  ERA Enrollment under Covenant Administrators."
90 Degree Benefits,58102,Professional Claims 837P,Yes,Yes,No,No,No,,"Atlanta, GA."
90 Degree Benefits,58102,Institutional Claims 837I,Yes,Yes,No,No,No,,"Atlanta, GA."
1199 National Benefit Fund,13162,Remits 835,Yes,No,Yes,Yes,No,,
1199 National Benefit Fund,13162,Professional Claims 837P,Yes,No,No,Yes,No,,
1199 National Benefit Fund,13162,Institutional Claims 837I,Yes,No,No,Yes,No,,
A-G Administrators LLC,11370,Professional Claims 837P,Yes,No,No,Yes,No,,
A-G Administrators LLC,11370,Institutional Claims 837I,Yes,No,No,Yes,No,,
A.W. Holdings LLC Dba Benchmark - CORVEL,J1976,Professional Claims 837P,Yes,Yes,No,No,Yes,Auto,"Auto only. Covers CT, FL, GA, IN, MD, MI, MO, NJ, NM, TN, VA.

At this time, only Professional (HCFA) claims are accepted.

Payer returns ERAs automatically once electronic claim submission begins. No enrollment needed."
AAA Automobile,11983,Professional Claims 837P,Yes,Yes,No,No,Yes,Auto,"Auto Only. At this time, only Professional (HCFA) claims are accepted.

Payer returns ERAs automatically once electronic claim submission begins. No enrollment needed."
"AAA Northern California, Nevada & Utah Insurance Exchange",41556,Professional Claims 837P,Yes,Yes,No,No,No,Work Comp,"Workers Comp Only. At this time, only Professional (HCFA) claims are accepted."
AAG - American Administrative Group,75240,Professional Claims 837P,Yes,Yes,No,Yes,No,,Formerly Icon Benefit Admin
AAG - American Administrative Group,75240,Institutional Claims 837I,Yes,Yes,No,Yes,No,,Formerly Icon Benefit Admin
"AAG Benefit Plan Administrators, Inc.",75240,Professional Claims 837P,Yes,Yes,No,Yes,No,,
"AAG Benefit Plan Administrators, Inc.",75240,Institutional Claims 837I,Yes,Yes,No,Yes,No,,
AARP by UnitedHealthcare,36273,Claim Status 276 / 277,Yes,No,No,No,No,,
AARP by UnitedHealthcare,36273,Eligibility 270 / 271,Yes,No,No,No,No,,
AARP Dental Insurance Plan,AARP1,Dental Claims 837D,Yes,No,No,No,No,,
AARP Hospital Indemnity Plans insured by UnitedHealthcare Insurance Company,36273,Professional Claims 837P,Yes,Yes,No,Yes,No,,
